stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000270570,9606.ENSP00000362285,SLC47A1,SLC29A3,9606,0.493,0.0,0.0,0.0,0.055,0.0,0.0,0.485
9606.ENSP00000270570,9606.ENSP00000357915,SLC47A1,SLC22A16,9606,0.502,0.0,0.0,0.0,0.08,0.045,0.0,0.479
9606.ENSP00000270570,9606.ENSP00000478255,SLC47A1,ABCB1,9606,0.644,0.0,0.0,0.0,0.112,0.045,0.0,0.613
9606.ENSP00000290349,9606.ENSP00000357915,CBR1,SLC22A16,9606,0.479,0.0,0.0,0.0,0.042,0.062,0.0,0.467
9606.ENSP00000290349,9606.ENSP00000290354,CBR1,CBR3,9606,0.983,0.0,0.0,0.053,0.188,0.727,0.9,0.338
9606.ENSP00000290354,9606.ENSP00000478255,CBR3,ABCB1,9606,0.424,0.0,0.0,0.0,0.064,0.063,0.0,0.396
9606.ENSP00000290354,9606.ENSP00000357915,CBR3,SLC22A16,9606,0.509,0.0,0.0,0.0,0.0,0.062,0.0,0.498
9606.ENSP00000301956,9606.ENSP00000359488,ACSM1,GBP5,9606,0.783,0.0,0.0,0.0,0.0,0.783,0.0,0.0
9606.ENSP00000301956,9606.ENSP00000357915,ACSM1,SLC22A16,9606,0.786,0.0,0.0,0.0,0.059,0.776,0.0,0.067
9606.ENSP00000357915,9606.ENSP00000362285,SLC22A16,SLC29A3,9606,0.468,0.0,0.0,0.0,0.062,0.0,0.0,0.455
9606.ENSP00000357915,9606.ENSP00000359488,SLC22A16,GBP5,9606,0.477,0.0,0.0,0.0,0.061,0.466,0.0,0.0
9606.ENSP00000357915,9606.ENSP00000478255,SLC22A16,ABCB1,9606,0.516,0.0,0.001,0.0,0.107,0.07,0.0,0.465
9606.ENSP00000357915,9606.ENSP00000369948,SLC22A16,SLC22A18,9606,0.527,0.0,0.0,0.0,0.072,0.0,0.0,0.511
9606.ENSP00000357915,9606.ENSP00000357920,SLC22A16,DDO,9606,0.547,0.0,0.429,0.0,0.101,0.0,0.0,0.188
9606.ENSP00000357915,9606.ENSP00000423673,SLC22A16,NDUFA13,9606,0.639,0.0,0.0,0.0,0.0,0.629,0.0,0.068
9606.ENSP00000264731,9606.ENSP00000379204,TP63,BMP7,9606,0.482,0.0,0.0,0.0,0.065,0.0,0.0,0.469
9606.ENSP00000264731,9606.ENSP00000498116,TP63,DLX5,9606,0.656,0.0,0.0,0.0,0.062,0.0,0.0,0.649
9606.ENSP00000264731,9606.ENSP00000428480,TP63,DLX6,9606,0.725,0.0,0.0,0.0,0.048,0.0,0.0,0.723
9606.ENSP00000320130,9606.ENSP00000498116,DYNC1I1,DLX5,9606,0.625,0.0,0.0,0.0,0.149,0.0,0.0,0.578
9606.ENSP00000320130,9606.ENSP00000428480,DYNC1I1,DLX6,9606,0.664,0.0,0.0,0.0,0.074,0.0,0.0,0.653
9606.ENSP00000320130,9606.ENSP00000481021,DYNC1I1,SEM1,9606,0.682,0.0,0.0,0.0,0.049,0.0,0.0,0.68
9606.ENSP00000352565,9606.ENSP00000368104,HAND2,BMP2,9606,0.419,0.0,0.0,0.0,0.055,0.0,0.0,0.41
9606.ENSP00000352565,9606.ENSP00000498116,HAND2,DLX5,9606,0.646,0.0,0.0,0.0,0.042,0.0,0.0,0.646
9606.ENSP00000352565,9606.ENSP00000428480,HAND2,DLX6,9606,0.673,0.0,0.0,0.0,0.044,0.0,0.0,0.672
9606.ENSP00000352565,9606.ENSP00000360493,HAND2,RUNX2,9606,0.885,0.0,0.0,0.0,0.042,0.0,0.7,0.632
9606.ENSP00000360493,9606.ENSP00000481021,RUNX2,SEM1,9606,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.0
9606.ENSP00000360493,9606.ENSP00000379204,RUNX2,BMP7,9606,0.713,0.0,0.0,0.0,0.054,0.0,0.0,0.709
9606.ENSP00000360493,9606.ENSP00000428480,RUNX2,DLX6,9606,0.828,0.0,0.0,0.0,0.067,0.0,0.75,0.323
9606.ENSP00000360493,9606.ENSP00000368104,RUNX2,BMP2,9606,0.982,0.0,0.0,0.0,0.054,0.0,0.75,0.931
9606.ENSP00000360493,9606.ENSP00000498116,RUNX2,DLX5,9606,0.99,0.0,0.0,0.0,0.067,0.0,0.75,0.961
9606.ENSP00000368104,9606.ENSP00000428480,BMP2,DLX6,9606,0.787,0.0,0.0,0.0,0.049,0.0,0.75,0.177
9606.ENSP00000368104,9606.ENSP00000498116,BMP2,DLX5,9606,0.903,0.0,0.0,0.0,0.062,0.0,0.75,0.622
9606.ENSP00000368104,9606.ENSP00000379204,BMP2,BMP7,9606,0.988,0.0,0.0,0.0,0.082,0.268,0.4,0.975
9606.ENSP00000379204,9606.ENSP00000428480,BMP7,DLX6,9606,0.663,0.0,0.0,0.0,0.065,0.0,0.0,0.655
9606.ENSP00000379204,9606.ENSP00000498116,BMP7,DLX5,9606,0.738,0.0,0.0,0.0,0.108,0.0,0.0,0.719
9606.ENSP00000395535,9606.ENSP00000418944,MECP2,PEG10,9606,0.607,0.0,0.0,0.0,0.058,0.054,0.0,0.595
9606.ENSP00000395535,9606.ENSP00000428480,MECP2,DLX6,9606,0.741,0.0,0.0,0.0,0.0,0.0,0.0,0.741
9606.ENSP00000395535,9606.ENSP00000498116,MECP2,DLX5,9606,0.752,0.0,0.0,0.0,0.0,0.0,0.0,0.752
9606.ENSP00000418944,9606.ENSP00000498116,PEG10,DLX5,9606,0.605,0.0,0.0,0.0,0.042,0.0,0.0,0.605
9606.ENSP00000418944,9606.ENSP00000428480,PEG10,DLX6,9606,0.635,0.0,0.0,0.0,0.047,0.0,0.0,0.633
9606.ENSP00000428480,9606.ENSP00000481021,DLX6,SEM1,9606,0.822,0.0,0.0,0.0,0.0,0.0,0.0,0.822
9606.ENSP00000428480,9606.ENSP00000498116,DLX6,DLX5,9606,0.939,0.0,0.0,0.074,0.575,0.0,0.8,0.318
9606.ENSP00000481021,9606.ENSP00000498116,SEM1,DLX5,9606,0.725,0.0,0.0,0.0,0.043,0.0,0.0,0.725
9606.ENSP00000262352,9606.ENSP00000334223,SLC1A1,SLC36A2,9606,0.414,0.0,0.0,0.0,0.0,0.066,0.0,0.398
9606.ENSP00000262352,9606.ENSP00000392411,SLC1A1,SLC13A2,9606,0.505,0.0,0.0,0.0,0.055,0.0,0.208,0.392
9606.ENSP00000262352,9606.ENSP00000266088,SLC1A1,SLC5A1,9606,0.677,0.0,0.0,0.0,0.204,0.0,0.0,0.611
9606.ENSP00000262430,9606.ENSP00000392411,MLYCD,SLC13A2,9606,0.497,0.041,0.0,0.0,0.0,0.0,0.408,0.186
9606.ENSP00000266088,9606.ENSP00000445340,SLC5A1,SLC5A8,9606,0.454,0.0,0.0,0.245,0.063,0.0,0.0,0.29
9606.ENSP00000266088,9606.ENSP00000345873,SLC5A1,SLC26A3,9606,0.548,0.0,0.0,0.0,0.099,0.0,0.0,0.519
9606.ENSP00000266088,9606.ENSP00000392411,SLC5A1,SLC13A2,9606,0.583,0.042,0.0,0.0,0.127,0.0,0.0,0.541
9606.ENSP00000286298,9606.ENSP00000378920,SLC26A2,SLC26A6,9606,0.402,0.0,0.0,0.123,0.0,0.235,0.0,0.18
9606.ENSP00000286298,9606.ENSP00000392411,SLC26A2,SLC13A2,9606,0.865,0.052,0.0,0.0,0.095,0.0,0.0,0.855
9606.ENSP00000334223,9606.ENSP00000392411,SLC36A2,SLC13A2,9606,0.497,0.0,0.0,0.0,0.051,0.0,0.0,0.491
9606.ENSP00000340402,9606.ENSP00000392411,SLC15A5,SLC13A2,9606,0.733,0.0,0.0,0.0,0.054,0.0,0.0,0.729
9606.ENSP00000345873,9606.ENSP00000445340,SLC26A3,SLC5A8,9606,0.425,0.0,0.0,0.0,0.066,0.0,0.0,0.41
